노선id,노선번호,운행회차,회차,정류소번호명,정류소번호,정류소순번,정류소명,차량번호,운행출발일시,운행출발연월일시,하차일시,인원,누적인원
11110537,관악02,05,[05] 09:55,03_인헌초등학교,03,151,인헌초등학교,서울70사8904,09:55,2019-09-02 9:55,,0,221
11110537,관악02,05,[05] 09:55,04_낙성대현대아파트,04,152,낙성대현대아파트,서울70사8904,09:55,2019-09-02 9:55,,0,221
11110537,관악02,05,[05] 09:55,05_낙성대공원.관악복합평생교육센터,05,153,낙성대공원.관악복합평생교육센터,서울70사8904,09:55,2019-09-02 9:55,,0,221
11110537,관악02,05,[05] 09:55,06_서울과학전시관,06,154,서울과학전시관,서울70사8904,09:55,2019-09-02 9:55,,0,221
11110537,관악02,05,[05] 09:55,07_호암교수회관,07,155,호암교수회관,서울70사8904,09:55,2019-09-02 9:55,2019-09-02 10:11,4,225
11110537,관악02,05,[05] 09:55,08_인헌아파트,08,156,인헌아파트,서울70사8904,09:55,2019-09-02 9:55,,0,225
11110537,관악02,05,[05] 09:55,09_교수아파트,09,157,교수아파트,서울70사8904,09:55,2019-09-02 9:55,,0,225
11110537,관악02,05,[05] 09:55,10_가족생활동,10,158,가족생활동,서울70사8904,09:55,2019-09-02 9:55,,0,225
11110537,관악02,05,[05] 09:55,11_서울대후문.연구공원,11,159,서울대후문.연구공원,서울70사8904,09:55,2019-09-02 9:55,,0,225
11110537,관악02,05,[05] 09:55,12_학부생활관,12,160,학부생활관,서울70사8904,09:55,2019-09-02 9:55,2019-09-02 10:14,1,226
11110537,관악02,05,[05] 09:55,13_대학원생활관,13,161,대학원생활관,서울70사8904,09:55,2019-09-02 9:55,,0,226
11110537,관악02,05,[05] 09:55,14_기숙사삼거리,14,162,기숙사삼거리,서울70사8904,09:55,2019-09-02 9:55,2019-09-02 10:15,6,232
11110537,관악02,05,[05] 09:55,15_공동기기원,15,163,공동기기원,서울70사8904,09:55,2019-09-02 9:55,2019-09-02 10:18,1,233
11110537,관악02,05,[05] 09:55,16_유전공학연구소.반도체공동연구소,16,164,유전공학연구소.반도체공동연구소,서울70사8904,09:55,2019-09-02 9:55,,0,233
11110537,관악02,05,[05] 09:55,17_에너지자원연구소,17,165,에너지자원연구소,서울70사8904,09:55,2019-09-02 9:55,,0,233
11110537,관악02,05,[05] 09:55,18_신소재연구소,18,166,신소재연구소,서울70사8904,09:55,2019-09-02 9:55,2019-09-02 10:20,2,235
11110537,관악02,05,[05] 09:55,19_제2파워플랜트,19,167,제2파워플랜트,서울70사8904,09:55,2019-09-02 9:55,2019-09-02 10:22,1,236
11110537,관악02,05,[05] 09:55,20_건설환경종합연구소,20,168,건설환경종합연구소,서울70사8904,09:55,2019-09-02 9:55,2019-09-02 10:22,4,240
11110537,관악02,05,[05] 09:55,21_제2공학관,21,169,제2공학관,서울70사8904,09:55,2019-09-02 9:55,2019-09-02 10:23,7,247
11110537,관악02,05,[05] 09:55,22_유회진학술정보관.제1공학관,22,170,유회진학술정보관.제1공학관,서울70사8904,09:55,2019-09-02 9:55,,0,247
11110537,관악02,05,[05] 09:55,23_유전공학연구소.반도체공동연구소,23,171,유전공학연구소.반도체공동연구소,서울70사8904,09:55,2019-09-02 9:55,,0,247
11110537,관악02,05,[05] 09:55,24_교수회관입구,24,172,교수회관입구,서울70사8904,09:55,2019-09-02 9:55,,0,247
11110537,관악02,05,[05] 09:55,25_관악사삼거리,25,173,관악사삼거리,서울70사8904,09:55,2019-09-02 9:55,,0,247
11110537,관악02,05,[05] 09:55,26_대학원생활관,26,174,대학원생활관,서울70사8904,09:55,2019-09-02 9:55,,0,247
11110537,관악02,05,[05] 09:55,27_노천강당,27,175,노천강당,서울70사8904,09:55,2019-09-02 9:55,2019-09-02 10:16,11,258
11110537,관악02,05,[05] 09:55,28_학부생활관,28,176,학부생활관,서울70사8904,09:55,2019-09-02 9:55,2019-09-02 10:43,1,259
11110537,관악02,05,[05] 09:55,29_BK국제관,29,177,BK국제관,서울70사8904,09:55,2019-09-02 9:55,,0,259
11110537,관악02,05,[05] 09:55,30_가족생활동,30,178,가족생활동,서울70사8904,09:55,2019-09-02 9:55,,0,259
11110537,관악02,05,[05] 09:55,31_호암교수회관,31,179,호암교수회관,서울70사8904,09:55,2019-09-02 9:55,,0,259
11110537,관악02,05,[05] 09:55,32_인헌아파트,32,180,인헌아파트,서울70사8904,09:55,2019-09-02 9:55,,0,259
11110537,관악02,05,[05] 09:55,33_서울과학전시관,33,181,서울과학전시관,서울70사8904,09:55,2019-09-02 9:55,,0,259
11110537,관악02,05,[05] 09:55,34_낙성대공원.관악복합평생교육센터,34,182,낙성대공원.관악복합평생교육센터,서울70사8904,09:55,2019-09-02 9:55,,0,259
11110537,관악02,05,[05] 09:55,35_낙성대현대아파트,35,183,낙성대현대아파트,서울70사8904,09:55,2019-09-02 9:55,,0,259
11110537,관악02,05,[05] 09:55,36_인헌초등학교,36,184,인헌초등학교,서울70사8904,09:55,2019-09-02 9:55,,0,259
11110537,관악02,05,[05] 09:55,37_낙성대입구,37,185,낙성대입구,서울70사8904,09:55,2019-09-02 9:55,,0,259
11110537,관악02,06,[06] 10:51,01_낙성대역,01,186,낙성대역,서울70사8904,10:51,2019-09-02 10:51,2019-09-02 10:51,5,264
11110537,관악02,06,[06] 10:51,02_낙성대입구,02,187,낙성대입구,서울70사8904,10:51,2019-09-02 10:51,,0,264
11110537,관악02,06,[06] 10:51,03_인헌초등학교,03,188,인헌초등학교,서울70사8904,10:51,2019-09-02 10:51,2019-09-02 11:04,1,265
11110537,관악02,06,[06] 10:51,04_낙성대현대아파트,04,189,낙성대현대아파트,서울70사8904,10:51,2019-09-02 10:51,,0,265
11110537,관악02,06,[06] 10:51,05_낙성대공원.관악복합평생교육센터,05,190,낙성대공원.관악복합평생교육센터,서울70사8904,10:51,2019-09-02 10:51,,0,265
