노선id,노선번호,운행회차,회차,정류소번호명,정류소번호,정류소순번,정류소명,차량번호,운행출발일시,운행출발연월일시,하차일시,인원,누적인원
11110537,관악02,2,[02] 07:47,23_유전공학연구소.반도체공동연구소,23,60,유전공학연구소.반도체공동연구소,서울70사8904,7:47,2019-09-02 7:47,,0,18
11110537,관악02,2,[02] 07:47,24_교수회관입구,24,61,교수회관입구,서울70사8904,7:47,2019-09-02 7:47,,0,18
11110537,관악02,2,[02] 07:47,25_관악사삼거리,25,62,관악사삼거리,서울70사8904,7:47,2019-09-02 7:47,2019-09-02 8:17,3,21
11110537,관악02,2,[02] 07:47,26_대학원생활관,26,63,대학원생활관,서울70사8904,7:47,2019-09-02 7:47,2019-09-02 8:18,1,22
11110537,관악02,2,[02] 07:47,27_노천강당,27,64,노천강당,서울70사8904,7:47,2019-09-02 7:47,,0,22
11110537,관악02,2,[02] 07:47,28_학부생활관,28,65,학부생활관,서울70사8904,7:47,2019-09-02 7:47,2019-09-02 8:19,4,26
11110537,관악02,2,[02] 07:47,29_BK국제관,29,66,BK국제관,서울70사8904,7:47,2019-09-02 7:47,,0,26
11110537,관악02,2,[02] 07:47,30_가족생활동,30,67,가족생활동,서울70사8904,7:47,2019-09-02 7:47,,0,26
11110537,관악02,2,[02] 07:47,31_호암교수회관,31,68,호암교수회관,서울70사8904,7:47,2019-09-02 7:47,,0,26
11110537,관악02,2,[02] 07:47,32_인헌아파트,32,69,인헌아파트,서울70사8904,7:47,2019-09-02 7:47,2019-09-02 8:21,1,27
11110537,관악02,2,[02] 07:47,33_서울과학전시관,33,70,서울과학전시관,서울70사8904,7:47,2019-09-02 7:47,2019-09-02 8:22,4,31
11110537,관악02,2,[02] 07:47,34_낙성대공원.관악복합평생교육센터,34,71,낙성대공원.관악복합평생교육센터,서울70사8904,7:47,2019-09-02 7:47,2019-09-02 8:23,1,32
11110537,관악02,2,[02] 07:47,35_낙성대현대아파트,35,72,낙성대현대아파트,서울70사8904,7:47,2019-09-02 7:47,2019-09-02 8:25,1,33
11110537,관악02,2,[02] 07:47,36_인헌초등학교,36,73,인헌초등학교,서울70사8904,7:47,2019-09-02 7:47,2019-09-02 8:25,3,36
11110537,관악02,2,[02] 07:47,37_낙성대입구,37,74,낙성대입구,서울70사8904,7:47,2019-09-02 7:47,,0,36
11110537,관악02,3,[03] 08:32,01_낙성대역,1,75,낙성대역,서울70사8904,8:32,2019-09-02 8:32,2019-09-02 8:32,12,48
11110537,관악02,3,[03] 08:32,02_낙성대입구,2,76,낙성대입구,서울70사8904,8:32,2019-09-02 8:32,2019-09-02 8:37,2,50
11110537,관악02,3,[03] 08:32,03_인헌초등학교,3,77,인헌초등학교,서울70사8904,8:32,2019-09-02 8:32,,0,50
11110537,관악02,3,[03] 08:32,04_낙성대현대아파트,4,78,낙성대현대아파트,서울70사8904,8:32,2019-09-02 8:32,,0,50
11110537,관악02,3,[03] 08:32,05_낙성대공원.관악복합평생교육센터,5,79,낙성대공원.관악복합평생교육센터,서울70사8904,8:32,2019-09-02 8:32,,0,50
